manjaro-alsa 20200126-1
manjaro-application-utility 1.3.1-1
manjaro-artwork 1.0.8-4
manjaro-aur-support 0.6-3
manjaro-base-skel 20171029-3
manjaro-browser-settings 20200124-1
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-gdm-theme 20200324-1
manjaro-gdm-tweak 20190711-1
manjaro-gnome-extension-settings-19.0 20200207-1
manjaro-gnome-settings-19.0 20200329-1
manjaro-hello-dev 0.6.2-3
manjaro-hotfixes 2018.08-6
manjaro-icons 20191015-1
manjaro-keyring 20190608-1
manjaro-printer 20200215-2
manjaro-pulse 20200126-1
manjaro-release 19.0.2-1
manjaro-settings-manager 0.5.6-6
manjaro-settings-manager-notifier 0.5.6-6
manjaro-system 20200325-1
manjaro-wallpapers-18.0 1.4-3
mariadb-libs 10.4.12-1
matcha-gtk-theme 20200324-1
mathjax2 2.7.7-1
mbedtls 2.16.5-1
mc 4.8.24-2
md4c 0.4.3-1
mdadm 4.1-2
mdcat 0.15.1-1
memtest86+ 5.01-3
mesa 19.3.5-1
mesa-demos 8.4.0-2
mesa-vdpau 19.3.5-1
